PAINT_SQUARE 6 14 1
PAINT_SQUARE 10 161 5
PAINT_SQUARE 6 188 1
PAINT_SQUARE 6 191 1
PAINT_SQUARE 10 6 1
PAINT_SQUARE 10 17 1
PAINT_SQUARE 10 20 1
PAINT_SQUARE 19 32 10
PAINT_SQUARE 11 45 2
PAINT_SQUARE 11 50 2
PAINT_SQUARE 11 55 2
PAINT_SQUARE 15 123 6
PAINT_SQUARE 15 136 6
PAINT_SQUARE 12 146 3
PAINT_SQUARE 12 11 1
PAINT_SQUARE 12 93 1
PAINT_SQUARE 18 69 5
PAINT_SQUARE 18 80 5
PAINT_SQUARE 15 175 2
PAINT_SQUARE 15 180 2
PAINT_SQUARE 15 185 2
PAINT_SQUARE 14 189 1
PAINT_SQUARE 19 101 5
PAINT_SQUARE 18 111 4
PAINT_SQUARE 19 146 3
PAINT_SQUARE 20 160 4
PAINT_SQUARE 17 189 1
PAINT_SQUARE 18 52 1
PAINT_SQUARE 18 55 1
PAINT_SQUARE 18 58 1
PAINT_SQUARE 18 61 1
PAINT_SQUARE 24 12 2
PAINT_SQUARE 24 17 2
PAINT_SQUARE 23 141 1
PAINT_SQUARE 24 109 1
PAINT_SQUARE 24 112 1
PAINT_SQUARE 26 146 3
PAINT_SQUARE 28 46 3
PAINT_SQUARE 28 53 3
PAINT_SQUARE 28 60 3
PAINT_SQUARE 27 125 2
PAINT_SQUARE 27 130 2
PAINT_SQUARE 27 135 2
PAINT_SQUARE 27 140 2
PAINT_SQUARE 27 175 2
PAINT_SQUARE 27 180 2
PAINT_SQUARE 27 185 2
PAINT_SQUARE 26 189 1
PAINT_SQUARE 27 109 1
PAINT_SQUARE 30 114 1
PAINT_SQUARE 30 170 1
PAINT_SQUARE 33 170 1
PAINT_LINE 5 16 8 16
PAINT_LINE 5 193 7 193
PAINT_LINE 5 194 7 194
PAINT_LINE 7 76 8 76
PAINT_LINE 7 77 8 77
PAINT_LINE 7 78 8 78
PAINT_LINE 7 79 8 79
PAINT_LINE 7 80 8 80
PAINT_LINE 7 81 8 81
PAINT_LINE 7 82 8 82
PAINT_LINE 7 183 8 183
PAINT_LINE 7 184 8 184
PAINT_LINE 7 185 8 185
PAINT_LINE 7 186 8 186
PAINT_LINE 8 13 8 13
PAINT_LINE 8 14 8 14
PAINT_LINE 8 15 8 15
PAINT_LINE 8 75 8 75
PAINT_LINE 8 83 8 83
PAINT_LINE 9 8 11 8
PAINT_LINE 10 58 12 58
PAINT_LINE 11 9 12 9
PAINT_LINE 11 13 12 13
PAINT_LINE 11 14 12 14
PAINT_LINE 11 15 12 15
PAINT_LINE 12 16 12 16
PAINT_LINE 12 21 31 21
PAINT_LINE 12 91 12 91
PAINT_LINE 12 95 12 95
PAINT_LINE 13 5 14 5
PAINT_LINE 13 6 14 6
PAINT_LINE 13 7 14 7
PAINT_LINE 13 8 14 8
PAINT_LINE 13 86 24 86
PAINT_LINE 13 87 24 87
PAINT_LINE 14 43 24 43
PAINT_LINE 14 116 23 116
PAINT_LINE 16 165 24 165
PAINT_LINE 16 166 24 166
PAINT_LINE 17 63 20 63
PAINT_LINE 18 173 18 173
PAINT_LINE 18 174 18 174
PAINT_LINE 18 175 18 175
PAINT_LINE 18 176 18 176
PAINT_LINE 18 177 18 177
PAINT_LINE 18 178 18 178
PAINT_LINE 18 179 18 179
PAINT_LINE 18 180 18 180
PAINT_LINE 18 181 18 181
PAINT_LINE 18 182 18 182
PAINT_LINE 18 183 18 183
PAINT_LINE 18 184 18 184
